YEAR,MO,DY,PS,WS10M,WS50M,RH2M,QV2M,TS,T2M,T2M_MAX,T2M_MIN,WS2M,PRECTOTCORR
1981,1,31,100.95,1.76,3.07,91.88,18.43,25.16,25.31,28.01,23.21,0.9,0.37
1981,2,1,100.97,1.76,3.06,91.5,18.31,25.26,25.3,28.21,23,0.9,1.19
1981,2,2,100.86,2.39,4.15,90.69,18.49,25.7,25.62,28.95,22.98,1.29,19.78
1981,2,3,100.86,2.26,3.94,91.75,18.01,25.05,24.96,27.8,23.08,1.23,10.03
1981,2,4,100.88,2.09,3.66,91.06,18.13,25.32,25.21,28.91,22.03,1.11,13.66
1981,2,5,101.01,2.31,4.03,91.75,18.37,25.4,25.35,28.3,23.09,1.24,7.69
1981,2,6,101.03,2.34,4.09,92,18.31,25.3,25.21,28.77,22.9,1.27,39.53
1981,2,7,100.92,2.44,4.17,90.38,17.94,25.26,25.18,28.81,22.81,1.31,9.66
1981,2,8,100.85,2.36,4.1,89.31,17.94,25.56,25.39,29.1,22.51,1.28,5.16
1981,2,9,100.88,2.26,3.84,90.31,17.94,25.29,25.2,28.42,22.65,1.21,2.42
1981,2,10,100.89,2.12,3.68,91.25,18.01,25.08,25.05,28.33,22.39,1.12,1.7
1981,2,11,100.74,2.07,3.59,90.56,18.25,25.45,25.39,28.67,22.26,1.11,11.54
1981,2,12,100.69,1.64,2.9,90.5,18.68,25.79,25.78,28.73,23.01,0.88,6.47
1981,2,13,100.76,1.52,2.74,92.06,18.01,24.79,24.87,27.15,23.43,0.79,6.85
1981,2,14,100.85,1.84,3.27,91.44,18.19,25.19,25.15,28.42,22.93,0.98,56.59
1981,2,15,100.87,1.48,2.33,89.44,18.19,25.23,25.51,28.31,22.86,0.86,9.15
1981,2,16,100.86,1.26,2.06,90.88,18.74,25.49,25.73,28.08,23.6,0.7,15.53
1981,2,17,100.86,1.77,3.12,94.81,18.98,25.13,25.23,27.2,23.8,0.91,31.59
1981,2,18,100.88,1.4,2.44,93.81,18.31,24.67,24.8,26.73,23.19,0.72,25.71
1981,2,19,100.89,2.09,3.66,91.56,18.13,25.1,25.07,28.44,22.48,1.12,7.2
1981,2,20,100.87,1.69,3.03,87.19,18.01,26.19,25.91,30.5,22.47,0.88,4.89
1981,2,21,100.89,1.45,2.49,85.44,17.52,25.96,25.8,29.9,22.33,0.8,2.85
1981,2,22,100.87,1.91,3.5,87.5,17.21,25.1,25.07,28.8,22.37,1.01,0.1
1981,2,23,100.92,1.6,2.84,87.56,17.88,25.84,25.69,29.85,21.83,0.84,1.22
1981,2,24,100.94,1.35,2.31,87.56,18.74,26.63,26.46,30.31,22.89,0.71,7.08
1981,2,25,100.96,1.58,2.6,90.94,18.55,25.4,25.58,27.62,23.91,0.88,3.39
1981,2,26,101.01,1.82,3.17,89.75,18.13,25.68,25.49,29.12,23.12,0.98,27.66
1981,2,27,101.07,2.05,3.62,89.44,17.64,25.25,25.11,28.36,22.83,1.14,8.59
1981,2,28,101.04,2.46,4.28,92.19,18.01,24.93,24.88,27.76,23.1,1.34,2.64
1981,3,1,101.14,2.42,4.34,90.38,18.25,25.59,25.51,29.03,22.8,1.3,2.59
1981,3,2,101.16,2.22,3.95,89,17.94,25.61,25.51,29.22,22.93,1.19,32.91
1981,3,3,101.08,2.12,3.74,87.25,17.7,25.87,25.66,30.07,22.2,1.13,3.99
1981,3,4,101.08,1.39,2.5,85.44,18.19,26.94,26.51,30.83,22.73,0.72,0.98
1981,3,5,101.17,1.27,2.25,92.31,18.25,25.21,25.1,27.52,23.34,0.68,43.37
1981,3,6,101.23,1.55,2.59,89.62,18.43,25.81,25.8,29.21,23.39,0.89,8.92
1981,3,7,101.21,1.65,2.99,87.62,18.37,26.64,26.24,30.27,23.25,0.88,9.76
1981,3,8,101.12,2.03,3.59,87.75,18.25,26.37,26.04,30.12,22.75,1.1,3.79
1981,3,9,101.06,1.91,3.19,86.94,18.25,26.42,26.16,30.37,22.23,1.05,0.87
1981,3,10,101.03,1.88,3.21,88.81,18.74,26.55,26.29,30.33,23.14,1.02,6.3
1981,3,11,101.07,1.76,3.13,91.31,18.86,25.94,25.86,29.17,23.37,0.93,33.02
1981,3,12,101.14,1.5,2.45,87.56,18.37,26.29,26.16,29.82,23.25,0.8,10.02
1981,3,13,101.13,1.55,2.52,85.38,18.25,26.67,26.53,30.55,23.51,0.86,1.75
1981,3,14,101.12,1.58,2.85,85.94,18.55,27.08,26.71,31.23,22.83,0.83,0.67
1981,3,15,101.13,1.51,2.72,86.88,18.92,27.12,26.83,30.97,23.59,0.8,9.76
1981,3,16,100.92,1.68,2.98,88.38,18.98,26.9,26.58,30.7,23.09,0.88,3.19
1981,3,17,100.76,1.88,3.35,88.56,19.04,26.72,26.53,30.01,23.68,1.01,0.83
1981,3,18,100.78,1.34,2.45,87.5,18.98,26.92,26.7,30.19,23.78,0.69,21.88
1981,3,19,100.89,1.41,2.65,87,18.55,26.69,26.48,30.42,23.64,0.73,17.99
1981,3,20,100.9,1.95,3.29,88.44,18.49,26.39,26.1,30.58,22.37,1.06,2.69
1981,3,21,100.86,1.5,2.55,86.44,18.37,26.69,26.41,30.66,22.87,0.82,4.1
